title,first_name,last_name,release_year,category_id
Academy Dinosaur,Penelope,Guiness,-0001,6
Anaconda Confessions,Penelope,Guiness,-0001,2
Angels Life,Penelope,Guiness,-0001,13
Bulworth Commandments,Penelope,Guiness,-0001,10
Cheaper Clyde,Penelope,Guiness,-0001,14
Color Philadelphia,Penelope,Guiness,-0001,4
Elephant Trojan,Penelope,Guiness,-0001,11
Gleaming Jawbreaker,Penelope,Guiness,-0001,15
Human Graffiti,Penelope,Guiness,-0001,10
King Evolution,Penelope,Guiness,-0001,8
Lady Stage,Penelope,Guiness,-0001,11
Language Cowboy,Penelope,Guiness,-0001,3
Mulholland Beast,Penelope,Guiness,-0001,9
Oklahoma Jumanji,Penelope,Guiness,-0001,13
Rules Human,Penelope,Guiness,-0001,11
Splash Gump,Penelope,Guiness,-0001,8
Vertigo Northwest,Penelope,Guiness,-0001,5
Westward Seabiscuit,Penelope,Guiness,-0001,4
Wizard Coldblooded,Penelope,Guiness,-0001,12
Adaptation Holes,Nick,Wahlberg,-0001,6
Apache Divine,Nick,Wahlberg,-0001,8
Baby Hall,Nick,Wahlberg,-0001,9
Bull Shawshank,Nick,Wahlberg,-0001,1
Chainsaw Uptown,Nick,Wahlberg,-0001,14
Chisum Behavior,Nick,Wahlberg,-0001,8
Destiny Saturday,Nick,Wahlberg,-0001,13
Dracula Crystal,Nick,Wahlberg,-0001,4
Fight Jawbreaker,Nick,Wahlberg,-0001,2
Flash Wars,Nick,Wahlberg,-0001,13
Gilbert Pelican,Nick,Wahlberg,-0001,4
Goodfellas Salute,Nick,Wahlberg,-0001,14
Happiness United,Nick,Wahlberg,-0001,9
Indian Love,Nick,Wahlberg,-0001,8
Jekyll Frogmen,Nick,Wahlberg,-0001,13
Jersey Sassy,Nick,Wahlberg,-0001,3
Liaisons Sweet,Nick,Wahlberg,-0001,16
Lucky Flying,Nick,Wahlberg,-0001,12
Maguire Apache,Nick,Wahlberg,-0001,8
Mallrats United,Nick,Wahlberg,-0001,5
Mask Peach,Nick,Wahlberg,-0001,13
Roof Champion,Nick,Wahlberg,-0001,10
Rushmore Mermaid,Nick,Wahlberg,-0001,5
Smile Earring,Nick,Wahlberg,-0001,16
Wardrobe Phantom,Nick,Wahlberg,-0001,7
Alone Trip,Ed,Chase,-0001,12
Army Flintstones,Ed,Chase,-0001,6
Artist Coldblooded,Ed,Chase,-0001,15
Boondock Ballroom,Ed,Chase,-0001,16
Caddyshack Jedi,Ed,Chase,-0001,1
Cowboy Doom,Ed,Chase,-0001,9
Eve Resurrection,Ed,Chase,-0001,13
Forrest Sons,Ed,Chase,-0001,1
French Holiday,Ed,Chase,-0001,6
Frost Head,Ed,Chase,-0001,4
Halloween Nuts,Ed,Chase,-0001,6
Hunter Alter,Ed,Chase,-0001,6
Image Princess,Ed,Chase,-0001,15
Jeepers Wedding,Ed,Chase,-0001,4
Luck Opus,Ed,Chase,-0001,7
Necklace Outbreak,Ed,Chase,-0001,7
Platoon Instinct,Ed,Chase,-0001,13
Spice Sorority,Ed,Chase,-0001,7
Wedding Apollo,Ed,Chase,-0001,6
Weekend Personal,Ed,Chase,-0001,14
Whale Bikini,Ed,Chase,-0001,9
Young Language,Ed,Chase,-0001,6
Anaconda Confessions,Jennifer,Davis,-0001,2
Angels Life,Jennifer,Davis,-0001,13
Barefoot Manchurian,Jennifer,Davis,-0001,1
Bed Highball,Jennifer,Davis,-0001,6
Blade Polish,Jennifer,Davis,-0001,7
Boondock Ballroom,Jennifer,Davis,-0001,16
Ghostbusters Elf,Jennifer,Davis,-0001,2
Greedy Roots,Jennifer,Davis,-0001,7
Hanover Galaxy,Jennifer,Davis,-0001,12
Instinct Airport,Jennifer,Davis,-0001,15
Jumanji Blade,Jennifer,Davis,-0001,13
National Story,Jennifer,Davis,-0001,6
Oklahoma Jumanji,Jennifer,Davis,-0001,13
Poseidon Forever,Jennifer,Davis,-0001,15
Raiders Antitrust,Jennifer,Davis,-0001,6
Random Go,Jennifer,Davis,-0001,14
Reds Pocus,Jennifer,Davis,-0001,12
Silverado Goldfinger,Jennifer,Davis,-0001,14
Splash Gump,Jennifer,Davis,-0001,8
Submarine Bed,Jennifer,Davis,-0001,5
Treasure Command,Jennifer,Davis,-0001,11
Unforgiven Zoolander,Jennifer,Davis,-0001,14
Amadeus Holy,Johnny,Lollobrigida,-0001,1
Banger Pinocchio,Johnny,Lollobrigida,-0001,12
Bonnie Holocaust,Johnny,Lollobrigida,-0001,6
Chitty Lock,Johnny,Lollobrigida,-0001,7
Commandments Express,Johnny,Lollobrigida,-0001,11
Coneheads Smoochy,Johnny,Lollobrigida,-0001,7
Daddy Pittsburgh,Johnny,Lollobrigida,-0001,5
Daisy Menagerie,Johnny,Lollobrigida,-0001,14
Enough Raging,Johnny,Lollobrigida,-0001,16
Escape Metropolis,Johnny,Lollobrigida,-0001,16
Fire Wolves,Johnny,Lollobrigida,-0001,10
Frontier Cabin,Johnny,Lollobrigida,-0001,13
Goodfellas Salute,Johnny,Lollobrigida,-0001,14
Grail Frankenstein,Johnny,Lollobrigida,-0001,1
Groove Fiction,Johnny,Lollobrigida,-0001,15
Hall Cassidy,Johnny,Lollobrigida,-0001,3
Heavenly Gun,Johnny,Lollobrigida,-0001,12
Kramer Chocolate,Johnny,Lollobrigida,-0001,15
Love Suicides,Johnny,Lollobrigida,-0001,11
Metal Armageddon,Johnny,Lollobrigida,-0001,6
Pacific Amistad,Johnny,Lollobrigida,-0001,6
Patton Interview,Johnny,Lollobrigida,-0001,11
Pocus Pulp,Johnny,Lollobrigida,-0001,6
Ridgemont Submarine,Johnny,Lollobrigida,-0001,13
Rings Heartbreakers,Johnny,Lollobrigida,-0001,1
Smile Earring,Johnny,Lollobrigida,-0001,16
Soldiers Evolution,Johnny,Lollobrigida,-0001,14
Star Operation,Johnny,Lollobrigida,-0001,15
Sunrise League,Johnny,Lollobrigida,-0001,2
Antitrust Tomatoes,Bette,Nicholson,-0001,1
Bang Kwai,Bette,Nicholson,-0001,8
Beast Hunchback,Bette,Nicholson,-0001,4
Bikini Borrowers,Bette,Nicholson,-0001,2
Calendar Gunfight,Bette,Nicholson,-0001,9
Coast Rainbow,Bette,Nicholson,-0001,6
Coldblooded Darling,Bette,Nicholson,-0001,14
Crossroads Casualties,Bette,Nicholson,-0001,2
Drop Waterfront,Bette,Nicholson,-0001,15
Igby Maker,Bette,Nicholson,-0001,16
Kramer Chocolate,Bette,Nicholson,-0001,15
Language Cowboy,Bette,Nicholson,-0001,3
Lesson Cleopatra,Bette,Nicholson,-0001,15
Liberty Magnificent,Bette,Nicholson,-0001,15
Mulholland Beast,Bette,Nicholson,-0001,9
Potluck Mixed,Bette,Nicholson,-0001,2
Speed Suit,Bette,Nicholson,-0001,16
Titanic Boondock,Bette,Nicholson,-0001,2
Trading Pinocchio,Bette,Nicholson,-0001,15
Wyoming Storm,Bette,Nicholson,-0001,13
Angels Life,Grace,Mostel,-0001,13
Anonymous Human,Grace,Mostel,-0001,15
Arachnophobia Rollercoaster,Grace,Mostel,-0001,11
Berets Agent,Grace,Mostel,-0001,1
Breaking Home,Grace,Mostel,-0001,13
Command Darling,Grace,Mostel,-0001,9
Confessions Maguire,Grace,Mostel,-0001,7
Dazed Punk,Grace,Mostel,-0001,10
Deceiver Betrayed,Grace,Mostel,-0001,7
Destination Jerk,Grace,Mostel,-0001,7
Excitement Eve,Grace,Mostel,-0001,1
Gaslight Crusade,Grace,Mostel,-0001,11
Hellfighters Sierra,Grace,Mostel,-0001,9
Instinct Airport,Grace,Mostel,-0001,15
Malkovich Pet,Grace,Mostel,-0001,4
Necklace Outbreak,Grace,Mostel,-0001,7
October Submarine,Grace,Mostel,-0001,4
Open African,Grace,Mostel,-0001,14
Poseidon Forever,Grace,Mostel,-0001,15
Saints Bride,Grace,Mostel,-0001,7
Savannah Town,Grace,Mostel,-0001,7
Scissorhands Slums,Grace,Mostel,-0001,9
Sleepless Monsoon,Grace,Mostel,-0001,2
Sleepy Japanese,Grace,Mostel,-0001,13
Sting Personal,Grace,Mostel,-0001,13
Town Ark,Grace,Mostel,-0001,9
Tracy Cider,Grace,Mostel,-0001,2
Treatment Jekyll,Grace,Mostel,-0001,7
War Notting,Grace,Mostel,-0001,9
Warlock Werewolf,Grace,Mostel,-0001,3
Baby Hall,Matthew,Johansson,-0001,9
Campus Remember,Matthew,Johansson,-0001,1
Clones Pinocchio,Matthew,Johansson,-0001,12
Conquerer Nuts,Matthew,Johansson,-0001,7
Crowds Telemark,Matthew,Johansson,-0001,14
Dances None,Matthew,Johansson,-0001,1
Driving Polish,Matthew,Johansson,-0001,12
Durham Panky,Matthew,Johansson,-0001,15
Flash Wars,Matthew,Johansson,-0001,13
Hanging Deep,Matthew,Johansson,-0001,7
Indian Love,Matthew,Johansson,-0001,8
Lights Deer,Matthew,Johansson,-0001,4
Loser Hustler,Matthew,Johansson,-0001,15
Malkovich Pet,Matthew,Johansson,-0001,4
Runner Madigan,Matthew,Johansson,-0001,12
School Jacket,Matthew,Johansson,-0001,9
Scorpion Apollo,Matthew,Johansson,-0001,7
Sugar Wonka,Matthew,Johansson,-0001,2
Tomorrow Hustler,Matthew,Johansson,-0001,4
Vanishing Rocky,Matthew,Johansson,-0001,12
Anything Savannah,Joe,Swank,-0001,11
Birch Antitrust,Joe,Swank,-0001,12
Chocolat Harry,Joe,Swank,-0001,8
Chocolate Duck,Joe,Swank,-0001,9
Crooked Frogmen,Joe,Swank,-0001,3
Curtain Videotape,Joe,Swank,-0001,10
Dalmations Sweden,Joe,Swank,-0001,7
Horror Reign,Joe,Swank,-0001,16
Lawless Vision,Joe,Swank,-0001,2
Lebowski Soldiers,Joe,Swank,-0001,7
Majestic Floats,Joe,Swank,-0001,6
Pacific Amistad,Joe,Swank,-0001,6
Perdition Fargo,Joe,Swank,-0001,15
Primary Glass,Joe,Swank,-0001,1
Reef Salute,Joe,Swank,-0001,11
Runner Madigan,Joe,Swank,-0001,12
Smile Earring,Joe,Swank,-0001,16
Snatchers Montezuma,Joe,Swank,-0001,4
Sunrise League,Joe,Swank,-0001,2
Sweethearts Suspects,Joe,Swank,-0001,3
Ties Hunger,Joe,Swank,-0001,3
Traffic Hobbit,Joe,Swank,-0001,16
Untouchables Sunrise,Joe,Swank,-0001,6
Waterfront Deliverance,Joe,Swank,-0001,1
Wild Apollo,Joe,Swank,-0001,13
Academy Dinosaur,Christian,Gable,-0001,6
Alabama Devil,Christian,Gable,-0001,11
Crooked Frogmen,Christian,Gable,-0001,3
Divine Resurrection,Christian,Gable,-0001,10
Dragonfly Strangers,Christian,Gable,-0001,13
Goldfinger Sensibility,Christian,Gable,-0001,7
Jawbreaker Brooklyn,Christian,Gable,-0001,12
Jeepers Wedding,Christian,Gable,-0001,4
Life Twisted,Christian,Gable,-0001,5
Lord Arizona,Christian,Gable,-0001,1
Mod Secretary,Christian,Gable,-0001,6
Prejudice Oleander,Christian,Gable,-0001,4
Punk Divorce,Christian,Gable,-0001,2
Reap Unfaithful,Christian,Gable,-0001,11
Shakespeare Saddle,Christian,Gable,-0001,15
Trouble Date,Christian,Gable,-0001,16
Usual Untouchables,Christian,Gable,-0001,9
Vacation Boondock,Christian,Gable,-0001,14
Waterfront Deliverance,Christian,Gable,-0001,1
Wedding Apollo,Christian,Gable,-0001,6
Wizard Coldblooded,Christian,Gable,-0001,12
Won Dares,Christian,Gable,-0001,12
Canyon Stock,Zero,Cage,-0001,2
Dances None,Zero,Cage,-0001,1
Encino Elf,Zero,Cage,-0001,10
Ending Crowds,Zero,Cage,-0001,13
Gandhi Kwai,Zero,Cage,-0001,8
Godfather Diary,Zero,Cage,-0001,13
Handicap Boondock,Zero,Cage,-0001,1
Honey Ties,Zero,Cage,-0001,15
Horn Working,Zero,Cage,-0001,2
Image Princess,Zero,Cage,-0001,15
Jersey Sassy,Zero,Cage,-0001,3
Loser Hustler,Zero,Cage,-0001,15
Meet Chocolate,Zero,Cage,-0001,9
Mod Secretary,Zero,Cage,-0001,6
Moonwalker Fool,Zero,Cage,-0001,10
Oleander Clue,Zero,Cage,-0001,12
Racer Egg,Zero,Cage,-0001,7
Story Side,Zero,Cage,-0001,1
Strangers Graffiti,Zero,Cage,-0001,11
Thin Sagebrush,Zero,Cage,-0001,6
Tootsie Pilot,Zero,Cage,-0001,3
Uptown Young,Zero,Cage,-0001,3
Velvet Terminator,Zero,Cage,-0001,5
West Lion,Zero,Cage,-0001,7
Worker Tarzan,Zero,Cage,-0001,16
Alley Evolution,Karl,Berry,-0001,9
Alone Trip,Karl,Berry,-0001,12
Arabia Dogma,Karl,Berry,-0001,11
Arizona Bang,Karl,Berry,-0001,4
Bound Cheaper,Karl,Berry,-0001,4
Bowfinger Gables,Karl,Berry,-0001,11
Bunch Minds,Karl,Berry,-0001,7
Cleopatra Devil,Karl,Berry,-0001,13
Connecticut Tramp,Karl,Berry,-0001,14
Dares Pluto,Karl,Berry,-0001,2
Date Speed,Karl,Berry,-0001,8
Day Unfaithful,Karl,Berry,-0001,13
Doors President,Karl,Berry,-0001,2
Fury Murder,Karl,Berry,-0001,3
Hardly Robbers,Karl,Berry,-0001,6
Highball Potter,Karl,Berry,-0001,9
Holes Brannigan,Karl,Berry,-0001,15
Independence Hotel,Karl,Berry,-0001,6
Leathernecks Dwarfs,Karl,Berry,-0001,16
Lucky Flying,Karl,Berry,-0001,12
Monterey Labyrinth,Karl,Berry,-0001,11
Novocaine Flight,Karl,Berry,-0001,15
Oklahoma Jumanji,Karl,Berry,-0001,13
Perfect Groove,Karl,Berry,-0001,5
Reap Unfaithful,Karl,Berry,-0001,11
Reunion Witches,Karl,Berry,-0001,7
Smoking Barbarella,Karl,Berry,-0001,6
Stagecoach Armageddon,Karl,Berry,-0001,1
Sweden Shining,Karl,Berry,-0001,5
Telemark Heartbreakers,Karl,Berry,-0001,2
Virginian Pluto,Karl,Berry,-0001,6
Alone Trip,Uma,Wood,-0001,12
Antitrust Tomatoes,Uma,Wood,-0001,1
Attraction Newton,Uma,Wood,-0001,13
Boondock Ballroom,Uma,Wood,-0001,16
Cabin Flash,Uma,Wood,-0001,3
Chinatown Gladiator,Uma,Wood,-0001,13
Clash Freddy,Uma,Wood,-0001,2
Clueless Bucket,Uma,Wood,-0001,1
Daisy Menagerie,Uma,Wood,-0001,14
Driver Annie,Uma,Wood,-0001,15
Frida Slipper,Uma,Wood,-0001,9
Galaxy Sweethearts,Uma,Wood,-0001,4
Grinch Massage,Uma,Wood,-0001,10
Groundhog Uncut,Uma,Wood,-0001,5
Homeward Cider,Uma,Wood,-0001,6
Inch Jet,Uma,Wood,-0001,2
Leathernecks Dwarfs,Uma,Wood,-0001,16
Legally Secretary,Uma,Wood,-0001,3
Life Twisted,Uma,Wood,-0001,5
Lion Uncut,Uma,Wood,-0001,5
Lolita World,Uma,Wood,-0001,8
Metal Armageddon,Uma,Wood,-0001,6
Model Fish,Uma,Wood,-0001,3
Moonwalker Fool,Uma,Wood,-0001,10
Motions Details,Uma,Wood,-0001,11
Rebel Airport,Uma,Wood,-0001,12
Rider Caddyshack,Uma,Wood,-0001,15
Snowman Rollercoaster,Uma,Wood,-0001,2
Soldiers Evolution,Uma,Wood,-0001,14
Splash Gump,Uma,Wood,-0001,8
Splendor Patton,Uma,Wood,-0001,3
Steel Santa,Uma,Wood,-0001,4
Torque Bound,Uma,Wood,-0001,7
Wedding Apollo,Uma,Wood,-0001,6
Zhivago Core,Uma,Wood,-0001,11
Clash Freddy,Vivien,Bergen,-0001,2
Cranes Reservoir,Vivien,Bergen,-0001,15
Dirty Ace,Vivien,Bergen,-0001,10
Donnie Alley,Vivien,Bergen,-0001,2
Drifter Commandments,Vivien,Bergen,-0001,1
Driving Polish,Vivien,Bergen,-0001,12
Drums Dynamite,Vivien,Bergen,-0001,11
Enemy Odds,Vivien,Bergen,-0001,12
Excitement Eve,Vivien,Bergen,-0001,1
Gorgeous Bingo,Vivien,Bergen,-0001,3
High Encino,Vivien,Bergen,-0001,11
Hills Neighbors,Vivien,Bergen,-0001,1
Hobbit Alien,Vivien,Bergen,-0001,7
Impact Aladdin,Vivien,Bergen,-0001,12
Italian African,Vivien,Bergen,-0001,16
Japanese Run,Vivien,Bergen,-0001,11
Kentuckian Giant,Vivien,Bergen,-0001,11
Lovely Jingle,Vivien,Bergen,-0001,4
Lover Truman,Vivien,Bergen,-0001,4
Mussolini Spoilers,Vivien,Bergen,-0001,15
Polish Brooklyn,Vivien,Bergen,-0001,3
Salute Apollo,Vivien,Bergen,-0001,13
Saturday Lambs,Vivien,Bergen,-0001,15
Stock Glass,Vivien,Bergen,-0001,13
Streetcar Intentions,Vivien,Bergen,-0001,11
Tights Dawn,Vivien,Bergen,-0001,15
Trap Guys,Vivien,Bergen,-0001,9
Tycoon Gathering,Vivien,Bergen,-0001,10
Voice Peach,Vivien,Bergen,-0001,13
Westward Seabiscuit,Vivien,Bergen,-0001,4
Apache Divine,Cuba,Olivier,-0001,8
Borrowers Bedazzled,Cuba,Olivier,-0001,2
Bound Cheaper,Cuba,Olivier,-0001,4
Butch Panther,Cuba,Olivier,-0001,13
Cassidy Wyoming,Cuba,Olivier,-0001,16
Divine Resurrection,Cuba,Olivier,-0001,10
Egypt Tenenbaums,Cuba,Olivier,-0001,11
Empire Malkovich,Cuba,Olivier,-0001,3
Flying Hook,Cuba,Olivier,-0001,2
Fugitive Maguire,Cuba,Olivier,-0001,16
Hellfighters Sierra,Cuba,Olivier,-0001,9
Hyde Doctor,Cuba,Olivier,-0001,4
Kiss Glory,Cuba,Olivier,-0001,9
Knock Warlock,Cuba,Olivier,-0001,5
Luke Mummy,Cuba,Olivier,-0001,2
Maker Gables,Cuba,Olivier,-0001,3
Montezuma Command,Cuba,Olivier,-0001,1
Noon Papi,Cuba,Olivier,-0001,3
Oklahoma Jumanji,Cuba,Olivier,-0001,13
Roses Treasure,Cuba,Olivier,-0001,15
Shane Darkness,Cuba,Olivier,-0001,16
Siege Madre,Cuba,Olivier,-0001,8
Soldiers Evolution,Cuba,Olivier,-0001,14
Theory Mermaid,Cuba,Olivier,-0001,2
Unforgiven Zoolander,Cuba,Olivier,-0001,14
Volcano Texas,Cuba,Olivier,-0001,10
Werewolf Lola,Cuba,Olivier,-0001,1
Wonderland Christmas,Cuba,Olivier,-0001,14
Blanket Beverly,Fred,Costner,-0001,8
Boondock Ballroom,Fred,Costner,-0001,16
Brotherhood Blanket,Fred,Costner,-0001,6
Carol Texas,Fred,Costner,-0001,2
Cleopatra Devil,Fred,Costner,-0001,13
Connecticut Tramp,Fred,Costner,-0001,14
Deceiver Betrayed,Fred,Costner,-0001,7
Deliverance Mulholland,Fred,Costner,-0001,6
Eagles Panky,Fred,Costner,-0001,13
Earring Instinct,Fred,Costner,-0001,8
Easy Gladiator,Fred,Costner,-0001,1
Empire Malkovich,Fred,Costner,-0001,3
Entrapment Satisfaction,Fred,Costner,-0001,1
Gables Metropolis,Fred,Costner,-0001,8
Human Graffiti,Fred,Costner,-0001,10
Image Princess,Fred,Costner,-0001,15
Impossible Prejudice,Fred,Costner,-0001,9
Inch Jet,Fred,Costner,-0001,2
Kramer Chocolate,Fred,Costner,-0001,15
Magnificent Chitty,Fred,Costner,-0001,4
Miracle Virtual,Fred,Costner,-0001,2
Mission Zoolander,Fred,Costner,-0001,2
Rear Trading,Fred,Costner,-0001,1
Saints Bride,Fred,Costner,-0001,7
Sense Greek,Fred,Costner,-0001,15
Theory Mermaid,Fred,Costner,-0001,2
Weekend Personal,Fred,Costner,-0001,14
Breaking Home,Helen,Voight,-0001,13
Caper Motions,Helen,Voight,-0001,5
Casper Dragonfly,Helen,Voight,-0001,3
Cat Coneheads,Helen,Voight,-0001,5
Clash Freddy,Helen,Voight,-0001,2
Cupboard Sinners,Helen,Voight,-0001,6
Cyclone Family,Helen,Voight,-0001,9
Divine Resurrection,Helen,Voight,-0001,10
Empire Malkovich,Helen,Voight,-0001,3
Fever Empire,Helen,Voight,-0001,10
Fidelity Devil,Helen,Voight,-0001,11
Greatest North,Helen,Voight,-0001,12
Independence Hotel,Helen,Voight,-0001,6
Iron Moon,Helen,Voight,-0001,4
Jaws Harry,Helen,Voight,-0001,5
Kiss Glory,Helen,Voight,-0001,9
Legally Secretary,Helen,Voight,-0001,3
Lies Treatment,Helen,Voight,-0001,7
Microcosmos Paradise,Helen,Voight,-0001,3
Movie Shakespeare,Helen,Voight,-0001,8
Mummy Creatures,Helen,Voight,-0001,15
Road Roxanne,Helen,Voight,-0001,6
Scissorhands Slums,Helen,Voight,-0001,9
Side Ark,Helen,Voight,-0001,1
Sinners Atlantis,Helen,Voight,-0001,11
Stranger Strangers,Helen,Voight,-0001,3
Sweethearts Suspects,Helen,Voight,-0001,3
Tadpole Park,Helen,Voight,-0001,4
Telemark Heartbreakers,Helen,Voight,-0001,2
Voice Peach,Helen,Voight,-0001,13
War Notting,Helen,Voight,-0001,9
Warlock Werewolf,Helen,Voight,-0001,3
Attacks Hate,Dan,Torn,-0001,14
Boiled Dares,Dan,Torn,-0001,16
Chinatown Gladiator,Dan,Torn,-0001,13
Coneheads Smoochy,Dan,Torn,-0001,7
Early Home,Dan,Torn,-0001,2
Elizabeth Shane,Dan,Torn,-0001,15
Empire Malkovich,Dan,Torn,-0001,3
Flash Wars,Dan,Torn,-0001,13
Gump Date,Dan,Torn,-0001,16
Innocent Usual,Dan,Torn,-0001,9
Insider Arizona,Dan,Torn,-0001,12
Jerk Paycheck,Dan,Torn,-0001,4
Lovely Jingle,Dan,Torn,-0001,4
Mask Peach,Dan,Torn,-0001,13
Mussolini Spoilers,Dan,Torn,-0001,15
Rear Trading,Dan,Torn,-0001,1
Sling Luke,Dan,Torn,-0001,4
State Wasteland,Dan,Torn,-0001,10
Sun Confessions,Dan,Torn,-0001,14
Tequila Past,Dan,Torn,-0001,3
Tuxedo Mile,Dan,Torn,-0001,15
Virgin Daisy,Dan,Torn,-0001,7
Ace Goldfinger,Bob,Fawcett,-0001,11
Adaptation Holes,Bob,Fawcett,-0001,6
Chinatown Gladiator,Bob,Fawcett,-0001,13
Circus Youth,Bob,Fawcett,-0001,3
Control Anthem,Bob,Fawcett,-0001,5
Dares Pluto,Bob,Fawcett,-0001,2
Darn Forrester,Bob,Fawcett,-0001,1
Dazed Punk,Bob,Fawcett,-0001,10
Dynamite Tarzan,Bob,Fawcett,-0001,4
Hate Handicap,Bob,Fawcett,-0001,5
Homicide Peach,Bob,Fawcett,-0001,8
Jacket Frisco,Bob,Fawcett,-0001,7
Jumanji Blade,Bob,Fawcett,-0001,13
Lawless Vision,Bob,Fawcett,-0001,2
Leathernecks Dwarfs,Bob,Fawcett,-0001,16
Oscar Gold,Bob,Fawcett,-0001,2
Pelican Comforts,Bob,Fawcett,-0001,6
Personal Ladybugs,Bob,Fawcett,-0001,12
Raging Airplane,Bob,Fawcett,-0001,14
Run Pacific,Bob,Fawcett,-0001,13
Runner Madigan,Bob,Fawcett,-0001,12
Saddle Antitrust,Bob,Fawcett,-0001,5
Scorpion Apollo,Bob,Fawcett,-0001,7
Shawshank Bubble,Bob,Fawcett,-0001,16
Taxi Kick,Bob,Fawcett,-0001,12
Academy Dinosaur,Lucille,Tracy,-0001,6
Banger Pinocchio,Lucille,Tracy,-0001,12
Bedazzled Married,Lucille,Tracy,-0001,8
Cheaper Clyde,Lucille,Tracy,-0001,14
Chitty Lock,Lucille,Tracy,-0001,7
Coldblooded Darling,Lucille,Tracy,-0001,14
Dinosaur Secretary,Lucille,Tracy,-0001,8
Doors President,Lucille,Tracy,-0001,2
